provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERDESAANPERKOTAAN,MARET,410420.0,1
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,418296.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERKOTAAN,MARET,418047.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERKOTAAN,SEPTEMBER,426126.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERDESAAN,MARET,406917.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERDESAAN,SEPTEMBER,414738.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERDESAANPERKOTAAN,MARET,410420.0,1
ACEH,2021,17037,3165031.0,PERDESAANPERKOTAAN,MAKANAN,643591.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,418296.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERKOTAAN,MARET,448528.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERKOTAAN,SEPTEMBER,481276.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERDESAAN,MARET,434104.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERDESAAN,SEPTEMBER,462138.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERDESAANPERKOTAAN,MARET,438658.0,1
ACEH,2022,16772,3166460.0,PERDESAAN,MAKANAN,633566.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,468255.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERKOTAAN,MARET,448528.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERKOTAAN,SEPTEMBER,481276.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERDESAAN,MARET,434104.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERDESAAN,SEPTEMBER,462138.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERDESAANPERKOTAAN,MARET,438658.0,1
ACEH,2022,16772,3166460.0,PERKOTAAN,MAKANAN,736172.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,468255.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERKOTAAN,MARET,448528.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERKOTAAN,SEPTEMBER,481276.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERDESAAN,MARET,434104.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERDESAAN,SEPTEMBER,462138.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERDESAANPERKOTAAN,MARET,438658.0,1
ACEH,2022,16772,3166460.0,PERDESAANPERKOTAAN,MAKANAN,668480.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,468255.0,1
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERKOTAAN,MARET,261677.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERKOTAAN,SEPTEMBER,273271.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERDESAAN,MARET,266143.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERDESAAN,SEPTEMBER,284650.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERDESAANPERKOTAAN,MARET,263932.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAAN,MAKANAN,413087.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,279015.0,0
